 Time ,Strain_X0,Strain_X0,Strain_G3,Strain_G2,Strain_G1,u_X0,u_X1,u_G3,u_G2,u_G1
0,1.08E-06,1.08E-06,2.28E-08,2.55E-08,2.31E-08,1.74E-07,1.74E-07,1.91E-06,1.87E-06,1.88E-06
3600,-3.93E-19,-3.99E-19,-8.34E-21,-9.35E-21,-8.49E-21,6.36E-20,6.38E-20,6.99E-19,6.88E-19,6.89E-19
7200,-7.05E-19,-6.96E-19,-1.50E-20,-1.68E-20,-1.52E-20,1.14E-19,1.14E-19,1.25E-18,1.23E-18,1.24E-18
10800,9.08E-19,9.13E-19,1.92E-20,2.15E-20,1.94E-20,1.46E-19,1.47E-19,1.61E-18,1.58E-18,1.59E-18
14400,7.04E-19,7.04E-19,1.48E-20,1.66E-20,1.50E-20,1.13E-19,1.13E-19,1.24E-18,1.22E-18,1.22E-18
18000,1.30E-18,1.30E-18,2.75E-20,3.08E-20,2.78E-20,2.09E-19,2.10E-19,2.29E-18,2.26E-18,2.26E-18
21600,-3.63E-18,-3.62E-18,-7.66E-20,-8.58E-20,-7.78E-20,5.84E-19,5.84E-19,6.41E-18,6.30E-18,6.32E-18
25200,2.57E-18,2.56E-18,5.43E-20,6.09E-20,5.51E-20,4.14E-19,4.14E-19,4.55E-18,4.47E-18,4.48E-18
28800,2.36E-18,2.35E-18,4.99E-20,5.59E-20,5.06E-20,3.80E-19,3.80E-19,4.17E-18,4.10E-18,4.12E-18
32400,2.15E-18,2.14E-18,4.54E-20,5.09E-20,4.62E-20,3.46E-19,3.47E-19,3.80E-18,3.74E-18,3.75E-18
36000,1.94E-18,1.93E-18,4.10E-20,4.60E-20,4.16E-20,3.13E-19,3.13E-19,3.43E-18,3.37E-18,3.38E-18
39600,3.13E-18,3.12E-18,6.61E-20,7.42E-20,6.72E-20,5.05E-19,5.05E-19,5.54E-18,5.44E-18,5.46E-18
43200,-3.78E-18,-3.79E-18,-8.01E-20,-8.99E-20,-8.13E-20,6.11E-19,6.11E-19,6.70E-18,6.59E-18,6.61E-18
46800,-9.22E-20,-8.89E-20,-1.93E-21,-2.19E-21,-1.95E-21,1.50E-20,1.47E-20,1.59E-19,1.57E-19,1.57E-19
50400,-4.21E-18,-4.20E-18,-8.90E-20,-9.98E-20,-9.04E-20,6.79E-19,6.79E-19,7.45E-18,7.32E-18,7.34E-18
54000,-5.05E-19,-5.15E-19,-1.08E-20,-1.21E-20,-1.10E-20,8.24E-20,8.24E-20,9.03E-19,8.88E-19,8.91E-19
57600,-1.51E-17,-1.50E-17,-3.19E-19,-3.57E-19,-3.23E-19,2.43E-18,2.43E-18,2.66E-17,2.62E-17,2.63E-17
61200,-9.36E-19,-9.36E-19,-1.97E-20,-2.21E-20,-1.99E-20,1.50E-19,1.50E-19,1.65E-18,1.62E-18,1.62E-18
64800,-9.32E-18,-9.39E-18,-1.98E-19,-2.22E-19,-2.00E-19,1.51E-18,1.51E-18,1.66E-17,1.63E-17,1.63E-17
68400,-1.36E-18,-1.35E-18,-2.86E-20,-3.21E-20,-2.90E-20,2.18E-19,2.18E-19,2.39E-18,2.35E-18,2.36E-18
72000,7.35E-18,7.32E-18,1.55E-19,1.74E-19,1.57E-19,1.18E-18,1.18E-18,1.30E-17,1.28E-17,1.28E-17
75600,1.10E-17,1.10E-17,2.33E-19,2.61E-19,2.37E-19,1.78E-18,1.78E-18,1.95E-17,1.92E-17,1.92E-17
79200,-1.72E-17,-1.72E-17,-3.65E-19,-4.08E-19,-3.70E-19,2.78E-18,2.78E-18,3.05E-17,3.00E-17,3.01E-17
82800,2.81E-18,2.79E-18,5.90E-20,6.62E-20,5.99E-20,4.50E-19,4.50E-19,4.94E-18,4.86E-18,4.87E-18
86400,4.30E-18,4.31E-18,9.11E-20,1.02E-19,9.25E-20,6.95E-19,6.95E-19,7.62E-18,7.49E-18,7.51E-18
90000,1.02E-17,1.02E-17,2.15E-19,2.42E-19,2.19E-19,1.64E-18,1.64E-18,1.80E-17,1.77E-17,1.78E-17
93600,-9.54E-18,-9.51E-18,-2.01E-19,-2.26E-19,-2.05E-19,1.54E-18,1.54E-18,1.69E-17,1.66E-17,1.66E-17
97200,1.95E-18,1.95E-18,4.13E-20,4.63E-20,4.19E-20,3.15E-19,3.15E-19,3.46E-18,3.40E-18,3.41E-18
100800,2.34E-17,2.34E-17,4.95E-19,5.55E-19,5.02E-19,3.77E-18,3.78E-18,4.14E-17,4.07E-17,4.08E-17
104400,1.92E-17,1.91E-17,4.05E-19,4.55E-19,4.11E-19,3.09E-18,3.09E-18,3.39E-17,3.34E-17,3.35E-17
108000,-3.52E-17,-3.52E-17,-7.43E-19,-8.32E-19,-7.56E-19,5.66E-18,5.66E-18,6.21E-17,6.11E-17,6.13E-17
111600,-1.85E-17,-1.84E-17,-3.90E-19,-4.38E-19,-3.97E-19,2.98E-18,2.98E-18,3.27E-17,3.21E-17,3.22E-17
115200,7.00E-18,6.98E-18,1.48E-19,1.66E-19,1.50E-19,1.13E-18,1.13E-18,1.24E-17,1.22E-17,1.22E-17
118800,8.51E-18,8.49E-18,1.80E-19,2.02E-19,1.83E-19,1.37E-18,1.37E-18,1.51E-17,1.48E-17,1.48E-17
122400,-1.12E-17,-1.12E-17,-2.37E-19,-2.66E-19,-2.41E-19,1.81E-18,1.81E-18,1.98E-17,1.95E-17,1.96E-17
126000,2.69E-19,2.70E-19,5.76E-21,6.44E-21,5.85E-21,4.38E-20,4.43E-20,4.85E-19,4.77E-19,4.78E-19
129600,1.45E-17,1.45E-17,3.06E-19,3.43E-19,3.10E-19,2.33E-18,2.33E-18,2.56E-17,2.51E-17,2.52E-17
133200,7.69E-18,7.66E-18,1.62E-19,1.82E-19,1.65E-19,1.24E-18,1.24E-18,1.36E-17,1.33E-17,1.34E-17
136800,-1.21E-17,-1.20E-17,-2.55E-19,-2.86E-19,-2.59E-19,1.94E-18,1.94E-18,2.13E-17,2.10E-17,2.10E-17
140400,-6.18E-18,-6.15E-18,-1.30E-19,-1.46E-19,-1.32E-19,9.95E-19,9.95E-19,1.09E-17,1.07E-17,1.08E-17
144000,-6.20E-18,-6.18E-18,-1.31E-19,-1.47E-19,-1.33E-19,1.00E-18,9.95E-19,1.09E-17,1.07E-17,1.08E-17
147600,1.02E-17,1.01E-17,2.15E-19,2.41E-19,2.18E-19,1.64E-18,1.64E-18,1.80E-17,1.77E-17,1.77E-17
151200,-6.24E-18,-6.24E-18,-1.32E-19,-1.48E-19,-1.34E-19,1.01E-18,1.01E-18,1.10E-17,1.09E-17,1.09E-17
154800,1.53E-17,1.52E-17,3.23E-19,3.62E-19,3.28E-19,2.46E-18,2.46E-18,2.70E-17,2.66E-17,2.66E-17
158400,-1.29E-17,-1.29E-17,-2.73E-19,-3.06E-19,-2.77E-19,2.08E-18,2.08E-18,2.29E-17,2.25E-17,2.25E-17
162000,-2.42E-17,-2.41E-17,-5.11E-19,-5.73E-19,-5.19E-19,3.90E-18,3.90E-18,4.28E-17,4.20E-17,4.21E-17
165600,1.52E-17,1.52E-17,3.21E-19,3.60E-19,3.26E-19,2.45E-18,2.45E-18,2.69E-17,2.64E-17,2.65E-17
169200,-3.30E-18,-3.30E-18,-6.97E-20,-7.81E-20,-7.07E-20,5.31E-19,5.31E-19,5.83E-18,5.73E-18,5.75E-18
172800,2.38E-17,2.39E-17,5.05E-19,5.66E-19,5.13E-19,3.85E-18,3.85E-18,4.22E-17,4.15E-17,4.16E-17
176400,8.24E-18,8.21E-18,1.74E-19,1.95E-19,1.76E-19,1.33E-18,1.33E-18,1.45E-17,1.43E-17,1.43E-17
180000,-7.93E-18,-7.91E-18,-1.67E-19,-1.88E-19,-1.70E-19,1.28E-18,1.28E-18,1.40E-17,1.38E-17,1.38E-17
183600,2.03E-17,2.02E-17,4.28E-19,4.80E-19,4.34E-19,3.26E-18,3.26E-18,3.58E-17,3.52E-17,3.53E-17
187200,2.02E-17,2.02E-17,4.28E-19,4.80E-19,4.34E-19,3.26E-18,3.26E-18,3.58E-17,3.52E-17,3.53E-17
190800,-2.59E-17,-2.58E-17,-5.46E-19,-6.13E-19,-5.55E-19,4.17E-18,4.17E-18,4.57E-17,4.50E-17,4.51E-17
194400,1.35E-17,1.35E-17,2.86E-19,3.20E-19,2.90E-19,2.18E-18,2.18E-18,2.39E-17,2.35E-17,2.36E-17
198000,-4.98E-18,-4.98E-18,-1.05E-19,-1.18E-19,-1.07E-19,8.03E-19,8.02E-19,8.80E-18,8.65E-18,8.68E-18
201600,1.87E-17,1.86E-17,3.94E-19,4.42E-19,4.00E-19,3.00E-18,3.01E-18,3.30E-17,3.24E-17,3.25E-17
205200,3.94E-18,4.04E-18,8.58E-20,9.61E-20,8.66E-20,6.53E-19,6.55E-19,7.16E-18,7.05E-18,7.07E-18
208800,-9.62E-18,-9.60E-18,-2.03E-19,-2.28E-19,-2.06E-19,1.55E-18,1.55E-18,1.70E-17,1.67E-17,1.67E-17
212400,6.79E-17,6.76E-17,1.43E-18,1.61E-18,1.46E-18,1.09E-17,1.09E-17,1.20E-16,1.18E-16,1.18E-16
216000,6.16E-20,7.55E-20,1.40E-21,1.58E-21,1.45E-21,1.09E-20,1.07E-20,1.19E-19,1.16E-19,1.16E-19
219600,-2.76E-17,-2.75E-17,-5.82E-19,-6.52E-19,-5.91E-19,4.44E-18,4.44E-18,4.87E-17,4.79E-17,4.80E-17
223200,1.18E-17,1.18E-17,2.50E-19,2.80E-19,2.54E-19,1.91E-18,1.91E-18,2.09E-17,2.06E-17,2.06E-17
226800,-4.57E-18,-4.55E-18,-9.64E-20,-1.08E-19,-9.79E-20,7.35E-19,7.35E-19,8.07E-18,7.93E-18,7.95E-18
230400,1.70E-17,1.69E-17,3.59E-19,4.02E-19,3.64E-19,2.73E-18,2.73E-18,3.00E-17,2.95E-17,2.96E-17
234000,5.12E-18,5.09E-18,1.08E-19,1.21E-19,1.10E-19,8.24E-19,8.24E-19,9.04E-18,8.89E-18,8.91E-18
237600,-2.25E-17,-2.24E-17,-4.75E-19,-5.33E-19,-4.83E-19,3.62E-18,3.63E-18,3.98E-17,3.91E-17,3.92E-17
241200,1.72E-17,1.72E-17,3.64E-19,4.08E-19,3.69E-19,2.77E-18,2.78E-18,3.04E-17,2.99E-17,3.00E-17
244800,-3.87E-18,-3.86E-18,-8.16E-20,-9.15E-20,-8.28E-20,6.22E-19,6.23E-19,6.83E-18,6.72E-18,6.73E-18
248400,2.39E-17,2.38E-17,5.05E-19,5.66E-19,5.13E-19,3.85E-18,3.85E-18,4.22E-17,4.15E-17,4.17E-17
252000,5.25E-18,5.26E-18,1.11E-19,1.24E-19,1.13E-19,8.46E-19,8.47E-19,9.28E-18,9.13E-18,9.15E-18
255600,-6.24E-18,-6.23E-18,-1.32E-19,-1.48E-19,-1.34E-19,1.01E-18,1.01E-18,1.10E-17,1.09E-17,1.09E-17
259200,3.34E-17,3.34E-17,7.07E-19,7.93E-19,7.18E-19,5.39E-18,5.40E-18,5.92E-17,5.82E-17,5.83E-17
262800,-1.76E-18,-1.75E-18,-3.71E-20,-4.16E-20,-3.77E-20,2.83E-19,2.83E-19,3.11E-18,3.05E-18,3.06E-18
266400,2.13E-17,2.12E-17,4.49E-19,5.04E-19,4.56E-19,3.43E-18,3.43E-18,3.76E-17,3.70E-17,3.71E-17
270000,1.00E-17,9.99E-18,2.12E-19,2.37E-19,2.15E-19,1.61E-18,1.61E-18,1.77E-17,1.74E-17,1.75E-17
273600,-6.39E-18,-6.38E-18,-1.35E-19,-1.51E-19,-1.37E-19,1.03E-18,1.03E-18,1.13E-17,1.11E-17,1.11E-17
277200,3.68E-17,3.67E-17,7.77E-19,8.71E-19,7.89E-19,5.92E-18,5.93E-18,6.50E-17,6.39E-17,6.41E-17
280800,3.28E-18,3.28E-18,6.95E-20,7.79E-20,7.05E-20,5.30E-19,5.30E-19,5.81E-18,5.72E-18,5.73E-18
284400,-2.43E-17,-2.43E-17,-5.14E-19,-5.76E-19,-5.22E-19,3.92E-18,3.92E-18,4.30E-17,4.23E-17,4.24E-17
288000,1.51E-17,1.50E-17,3.18E-19,3.57E-19,3.23E-19,2.43E-18,2.43E-18,2.66E-17,2.62E-17,2.63E-17
291600,-3.44E-18,-3.43E-18,-7.26E-20,-8.14E-20,-7.38E-20,5.54E-19,5.54E-19,6.08E-18,5.98E-18,6.00E-18
295200,2.68E-17,2.68E-17,5.67E-19,6.36E-19,5.75E-19,4.32E-18,4.32E-18,4.74E-17,4.66E-17,4.68E-17
298800,8.34E-18,8.31E-18,1.76E-19,1.97E-19,1.79E-19,1.34E-18,1.34E-18,1.47E-17,1.45E-17,1.45E-17
302400,-1.02E-17,-1.01E-17,-2.15E-19,-2.41E-19,-2.18E-19,1.64E-18,1.64E-18,1.80E-17,1.77E-17,1.77E-17
306000,-2.45E-17,-2.44E-17,-5.17E-19,-5.80E-19,-5.25E-19,3.94E-18,3.94E-18,4.33E-17,4.25E-17,4.27E-17
309600,3.66E-17,3.63E-17,7.71E-19,8.64E-19,7.82E-19,5.88E-18,5.88E-18,6.45E-17,6.34E-17,6.36E-17
313200,3.19E-17,3.18E-17,6.74E-19,7.55E-19,6.84E-19,5.14E-18,5.14E-18,5.64E-17,5.54E-17,5.56E-17
316800,1.34E-17,1.33E-17,2.83E-19,3.17E-19,2.87E-19,2.16E-18,2.16E-18,2.37E-17,2.33E-17,2.33E-17
320400,-5.12E-18,-5.10E-18,-1.08E-19,-1.21E-19,-1.10E-19,8.25E-19,8.25E-19,9.05E-18,8.90E-18,8.92E-18
324000,-2.36E-17,-2.36E-17,-4.99E-19,-5.59E-19,-5.07E-19,3.81E-18,3.81E-18,4.18E-17,4.11E-17,4.12E-17
327600,-6.04E-17,-6.02E-17,-1.27E-18,-1.43E-18,-1.29E-18,9.72E-18,9.72E-18,1.07E-16,1.05E-16,1.05E-16
331200,3.69E-17,3.68E-17,7.80E-19,8.75E-19,7.92E-19,5.95E-18,5.95E-18,6.53E-17,6.42E-17,6.44E-17
334800,1.84E-17,1.84E-17,3.89E-19,4.37E-19,3.95E-19,2.97E-18,2.97E-18,3.26E-17,3.20E-17,3.21E-17
338400,-7.56E-20,-7.02E-20,-1.59E-21,-1.73E-21,-1.60E-21,1.20E-20,1.21E-20,1.31E-19,1.29E-19,1.29E-19
342000,-1.86E-17,-1.85E-17,-3.92E-19,-4.40E-19,-3.98E-19,2.99E-18,2.99E-18,3.28E-17,3.23E-17,3.24E-17
345600,-5.87E-17,-5.85E-17,-1.24E-18,-1.39E-18,-1.26E-18,9.45E-18,9.45E-18,1.04E-16,1.02E-16,1.02E-16
349200,4.20E-17,4.19E-17,8.87E-19,9.94E-19,9.00E-19,6.76E-18,6.76E-18,7.42E-17,7.29E-17,7.32E-17
352800,2.35E-17,2.34E-17,4.96E-19,5.56E-19,5.03E-19,3.78E-18,3.78E-18,4.15E-17,4.08E-17,4.09E-17
356400,4.98E-18,4.96E-18,1.05E-19,1.18E-19,1.07E-19,8.01E-19,8.01E-19,8.79E-18,8.64E-18,8.67E-18
360000,-1.35E-17,-1.35E-17,-2.86E-19,-3.20E-19,-2.90E-19,2.18E-18,2.18E-18,2.39E-17,2.35E-17,2.36E-17
