Time ,u_X0,u_X1,u_G3,u_G2,u_G1,Strain_X0,Strain_X1,Strain_G3,Strain_G2,Strain_G1
360000,1.56E-06,1.56E-06,1.72E-05,1.69E-05,1.69E-05,9.71E-06,9.68E-06,2.05E-07,2.30E-07,2.08E-07
363600,4.79E-18,4.79E-18,5.25E-17,5.17E-17,5.18E-17,-2.97E-17,-2.97E-17,-6.28E-19,-7.04E-19,-6.37E-19
367200,3.22E-18,3.22E-18,3.53E-17,3.47E-17,3.48E-17,2.00E-17,1.99E-17,4.22E-19,4.73E-19,4.28E-19
370800,5.45E-18,5.45E-18,5.98E-17,5.88E-17,5.90E-17,3.38E-17,3.37E-17,7.15E-19,8.02E-19,7.26E-19
374400,2.45E-18,2.45E-18,2.69E-17,2.64E-17,2.65E-17,1.52E-17,1.52E-17,3.21E-19,3.60E-19,3.26E-19
378000,5.09E-19,5.09E-19,5.59E-18,5.49E-18,5.51E-18,-3.16E-18,-3.15E-18,-6.67E-20,-7.48E-20,-6.77E-20
381600,3.49E-18,3.49E-18,3.83E-17,3.76E-17,3.78E-17,-2.17E-17,-2.16E-17,-4.58E-19,-5.13E-19,-4.65E-19
385200,1.04E-17,1.04E-17,1.14E-16,1.12E-16,1.13E-16,-6.47E-17,-6.45E-17,-1.37E-18,-1.53E-18,-1.39E-18
388800,6.26E-18,6.27E-18,6.87E-17,6.76E-17,6.78E-17,3.89E-17,3.88E-17,8.22E-19,9.21E-19,8.34E-19
392400,3.28E-18,3.29E-18,3.60E-17,3.54E-17,3.55E-17,2.04E-17,2.03E-17,4.31E-19,4.83E-19,4.37E-19
396000,3.04E-19,3.04E-19,3.34E-18,3.28E-18,3.29E-18,1.88E-18,1.88E-18,3.98E-20,4.47E-20,4.05E-20
399600,2.68E-18,2.68E-18,2.94E-17,2.89E-17,2.90E-17,-1.66E-17,-1.66E-17,-3.51E-19,-3.94E-19,-3.56E-19
403200,9.61E-18,9.61E-18,1.05E-16,1.04E-16,1.04E-16,-5.96E-17,-5.95E-17,-1.26E-18,-1.41E-18,-1.28E-18
406800,8.06E-18,8.07E-18,8.85E-17,8.70E-17,8.72E-17,5.01E-17,5.00E-17,1.06E-18,1.19E-18,1.07E-18
410400,4.10E-18,4.10E-18,4.50E-17,4.42E-17,4.43E-17,2.54E-17,2.54E-17,5.37E-19,6.02E-19,5.45E-19
414000,1.12E-18,1.12E-18,1.23E-17,1.21E-17,1.21E-17,6.93E-18,6.92E-18,1.46E-19,1.64E-19,1.49E-19
417600,1.86E-18,1.86E-18,2.05E-17,2.01E-17,2.02E-17,-1.16E-17,-1.15E-17,-2.44E-19,-2.74E-19,-2.48E-19
421200,3.85E-18,3.85E-18,4.23E-17,4.15E-17,4.17E-17,-2.39E-17,-2.38E-17,-5.05E-19,-5.66E-19,-5.13E-19
424800,7.82E-18,7.82E-18,8.58E-17,8.43E-17,8.46E-17,4.85E-17,4.84E-17,1.03E-18,1.15E-18,1.04E-18
428400,4.91E-18,4.91E-18,5.39E-17,5.30E-17,5.31E-17,3.05E-17,3.04E-17,6.44E-19,7.22E-19,6.54E-19
432000,1.93E-18,1.93E-18,2.12E-17,2.08E-17,2.09E-17,1.20E-17,1.19E-17,2.53E-19,2.84E-19,2.57E-19
435600,1.05E-18,1.05E-18,1.15E-17,1.13E-17,1.14E-17,-6.52E-18,-6.50E-18,-1.38E-19,-1.54E-19,-1.40E-19
439200,4.03E-18,4.03E-18,4.42E-17,4.35E-17,4.36E-17,-2.50E-17,-2.50E-17,-5.29E-19,-5.93E-19,-5.37E-19
442800,4.50E-18,4.50E-18,4.94E-17,4.85E-17,4.87E-17,2.79E-17,2.79E-17,5.90E-19,6.61E-19,5.99E-19
446400,7.14E-18,7.12E-18,7.82E-17,7.69E-17,7.71E-17,4.45E-17,4.40E-17,9.34E-19,1.05E-18,9.49E-19
450000,2.74E-18,2.74E-18,3.01E-17,2.96E-17,2.97E-17,1.70E-17,1.70E-17,3.60E-19,4.03E-19,3.65E-19
453600,2.38E-19,2.37E-19,2.61E-18,2.56E-18,2.57E-18,-1.47E-18,-1.48E-18,-3.12E-20,-3.50E-20,-3.17E-20
457200,3.22E-18,3.22E-18,3.53E-17,3.47E-17,3.48E-17,-2.00E-17,-1.99E-17,-4.22E-19,-4.73E-19,-4.28E-19
460800,1.01E-17,1.02E-17,1.11E-16,1.09E-16,1.10E-16,-6.30E-17,-6.28E-17,-1.33E-18,-1.49E-18,-1.35E-18
464400,6.54E-18,6.54E-18,7.17E-17,7.05E-17,7.07E-17,4.06E-17,4.05E-17,8.57E-19,9.61E-19,8.70E-19
468000,3.56E-18,3.56E-18,3.90E-17,3.84E-17,3.85E-17,2.21E-17,2.20E-17,4.66E-19,5.23E-19,4.73E-19
471600,7.20E-18,7.19E-18,7.89E-17,7.76E-17,7.78E-17,4.45E-17,4.46E-17,9.43E-19,1.06E-18,9.58E-19
475200,2.41E-18,2.41E-18,2.64E-17,2.59E-17,2.60E-17,-1.49E-17,-1.49E-17,-3.15E-19,-3.54E-19,-3.20E-19
478800,1.12E-17,1.12E-17,1.23E-16,1.21E-16,1.22E-16,-6.98E-17,-6.95E-17,-1.47E-18,-1.65E-18,-1.49E-18
482400,7.35E-18,7.35E-18,8.06E-17,7.93E-17,7.95E-17,4.56E-17,4.55E-17,9.64E-19,1.08E-18,9.78E-19
486000,4.25E-18,4.25E-18,4.66E-17,4.58E-17,4.60E-17,2.63E-17,2.63E-17,5.57E-19,6.25E-19,5.66E-19
489600,3.16E-18,3.16E-18,3.47E-17,3.41E-17,3.42E-17,-1.97E-17,-1.97E-17,-4.14E-19,-4.65E-19,-4.21E-19
493200,1.59E-18,1.59E-18,1.75E-17,1.72E-17,1.72E-17,-9.90E-18,-9.86E-18,-2.09E-19,-2.34E-19,-2.12E-19
496800,3.58E-18,3.58E-18,3.93E-17,3.86E-17,3.87E-17,-2.22E-17,-2.22E-17,-4.69E-19,-5.26E-19,-4.77E-19
500400,8.16E-18,8.16E-18,8.96E-17,8.80E-17,8.83E-17,5.07E-17,5.05E-17,1.07E-18,1.20E-18,1.09E-18
504000,5.18E-18,5.18E-18,5.69E-17,5.59E-17,5.61E-17,3.22E-17,3.21E-17,6.79E-19,7.62E-19,6.90E-19
507600,2.20E-18,2.20E-18,2.42E-17,2.37E-17,2.38E-17,1.37E-17,1.36E-17,2.89E-19,3.24E-19,2.93E-19
511200,7.79E-19,7.80E-19,8.55E-18,8.41E-18,8.43E-18,-4.84E-18,-4.83E-18,-1.02E-19,-1.15E-19,-1.04E-19
514800,3.76E-18,3.76E-18,4.13E-17,4.06E-17,4.07E-17,-2.33E-17,-2.33E-17,-4.93E-19,-5.53E-19,-5.01E-19
518400,3.76E-18,3.76E-18,4.12E-17,4.05E-17,4.07E-17,2.33E-17,2.33E-17,4.93E-19,5.53E-19,5.00E-19
522000,5.99E-18,6.00E-18,6.58E-17,6.47E-17,6.49E-17,3.72E-17,3.71E-17,7.86E-19,8.81E-19,7.98E-19
525600,3.01E-18,3.01E-18,3.31E-17,3.25E-17,3.26E-17,1.87E-17,1.87E-17,3.95E-19,4.43E-19,4.01E-19
529200,3.35E-20,3.34E-20,3.66E-19,3.59E-19,3.61E-19,2.01E-19,2.00E-19,4.41E-21,4.93E-21,4.37E-21
532800,2.95E-18,2.95E-18,3.23E-17,3.18E-17,3.19E-17,-1.83E-17,-1.82E-17,-3.86E-19,-4.33E-19,-3.92E-19
536400,9.88E-18,9.88E-18,1.08E-16,1.07E-16,1.07E-16,-6.13E-17,-6.12E-17,-1.30E-18,-1.45E-18,-1.31E-18
540000,6.81E-18,6.81E-18,7.47E-17,7.34E-17,7.37E-17,4.23E-17,4.21E-17,8.93E-19,1.00E-18,9.06E-19
543600,1.34E-17,1.34E-17,1.47E-16,1.44E-16,1.45E-16,8.30E-17,8.29E-17,1.76E-18,1.97E-18,1.78E-18
547200,7.72E-19,7.74E-19,8.48E-18,8.34E-18,8.36E-18,4.77E-18,4.78E-18,1.01E-19,1.13E-19,1.03E-19
550800,2.13E-18,2.13E-18,2.34E-17,2.30E-17,2.31E-17,-1.33E-17,-1.32E-17,-2.80E-19,-3.14E-19,-2.84E-19
554400,1.10E-17,1.10E-17,1.20E-16,1.18E-16,1.19E-16,-6.83E-17,-6.78E-17,-1.44E-18,-1.61E-18,-1.46E-18
558000,7.62E-18,7.62E-18,8.36E-17,8.22E-17,8.24E-17,4.73E-17,4.72E-17,9.99E-19,1.12E-18,1.01E-18
561600,4.64E-18,4.64E-18,5.09E-17,5.00E-17,5.02E-17,2.88E-17,2.87E-17,6.08E-19,6.82E-19,6.18E-19
565200,2.89E-18,2.89E-18,3.17E-17,3.11E-17,3.12E-17,-1.80E-17,-1.80E-17,-3.79E-19,-4.25E-19,-3.84E-19
568800,1.32E-18,1.32E-18,1.45E-17,1.43E-17,1.43E-17,-8.20E-18,-8.17E-18,-1.73E-19,-1.94E-19,-1.76E-19
572400,3.31E-18,3.31E-18,3.63E-17,3.57E-17,3.58E-17,-2.05E-17,-2.05E-17,-4.34E-19,-4.86E-19,-4.40E-19
576000,3.22E-18,3.22E-18,3.53E-17,3.47E-17,3.48E-17,2.00E-17,1.99E-17,4.22E-19,4.73E-19,4.28E-19
579600,5.45E-18,5.45E-18,5.98E-17,5.88E-17,5.90E-17,3.38E-17,3.38E-17,7.15E-19,8.02E-19,7.26E-19
583200,2.47E-18,2.47E-18,2.71E-17,2.67E-17,2.67E-17,1.53E-17,1.53E-17,3.24E-19,3.63E-19,3.29E-19
586800,2.33E-19,2.34E-19,2.56E-18,2.52E-18,2.53E-18,-1.44E-18,-1.45E-18,-3.07E-20,-3.44E-20,-3.10E-20
590400,3.21E-18,3.21E-18,3.53E-17,3.47E-17,3.48E-17,-2.00E-17,-1.99E-17,-4.21E-19,-4.73E-19,-4.28E-19
594000,6.20E-18,6.20E-18,6.80E-17,6.68E-17,6.70E-17,-3.85E-17,-3.84E-17,-8.12E-19,-9.11E-19,-8.25E-19
597600,9.18E-18,9.18E-18,1.01E-16,9.90E-17,9.93E-17,-5.70E-17,-5.68E-17,-1.20E-18,-1.35E-18,-1.22E-18
601200,1.02E-17,1.02E-17,1.12E-16,1.10E-16,1.10E-16,-6.31E-17,-6.30E-17,-1.33E-18,-1.50E-18,-1.35E-18
604800,1.52E-17,1.52E-17,1.67E-16,1.64E-16,1.65E-16,9.45E-17,9.42E-17,2.00E-18,2.24E-18,2.03E-18
608400,1.28E-17,1.28E-17,1.40E-16,1.38E-16,1.38E-16,7.92E-17,7.90E-17,1.67E-18,1.88E-18,1.70E-18
612000,5.38E-18,5.38E-18,5.90E-17,5.80E-17,5.82E-17,3.34E-17,3.33E-17,7.05E-19,7.90E-19,7.15E-19
615600,6.80E-18,6.81E-18,7.47E-17,7.34E-17,7.36E-17,4.22E-17,4.21E-17,8.92E-19,1.00E-18,9.06E-19
619200,3.82E-18,3.82E-18,4.20E-17,4.12E-17,4.14E-17,2.37E-17,2.37E-17,5.01E-19,5.62E-19,5.09E-19
622800,5.58E-18,5.58E-18,6.13E-17,6.02E-17,6.04E-17,-3.47E-17,-3.46E-17,-7.32E-19,-8.21E-19,-7.43E-19
626400,1.59E-18,1.59E-18,1.74E-17,1.71E-17,1.72E-17,-9.86E-18,-9.83E-18,-2.08E-19,-2.33E-19,-2.11E-19
630000,4.57E-18,4.57E-18,5.01E-17,4.93E-17,4.94E-17,-2.84E-17,-2.83E-17,-5.99E-19,-6.72E-19,-6.08E-19
633600,7.55E-18,7.55E-18,8.28E-17,8.14E-17,8.17E-17,-4.69E-17,-4.67E-17,-9.90E-19,-1.11E-18,-1.00E-18
637200,1.05E-17,1.05E-17,1.16E-16,1.14E-16,1.14E-16,-6.54E-17,-6.52E-17,-1.38E-18,-1.55E-18,-1.40E-18
640800,1.15E-17,1.15E-17,1.26E-16,1.24E-16,1.25E-16,-7.15E-17,-7.13E-17,-1.51E-18,-1.69E-18,-1.53E-18
644400,1.44E-17,1.44E-17,1.58E-16,1.55E-16,1.56E-16,8.93E-17,8.91E-17,1.89E-18,2.12E-18,1.92E-18
648000,1.14E-17,1.14E-17,1.25E-16,1.23E-16,1.23E-16,7.09E-17,7.06E-17,1.50E-18,1.68E-18,1.52E-18
651600,8.43E-18,8.43E-18,9.25E-17,9.09E-17,9.12E-17,5.23E-17,5.22E-17,1.11E-18,1.24E-18,1.12E-18
655200,5.45E-18,5.45E-18,5.98E-17,5.88E-17,5.90E-17,3.38E-17,3.37E-17,7.15E-19,8.01E-19,7.25E-19
658800,7.42E-18,7.42E-18,8.14E-17,8.00E-17,8.02E-17,-4.60E-17,-4.59E-17,-9.73E-19,-1.09E-18,-9.87E-19
662400,3.78E-20,3.75E-20,4.07E-19,4.00E-19,4.01E-19,2.36E-19,2.26E-19,4.92E-21,5.52E-21,5.02E-21
666000,2.94E-18,2.94E-18,3.23E-17,3.17E-17,3.18E-17,-1.83E-17,-1.82E-17,-3.86E-19,-4.33E-19,-3.92E-19
669600,5.92E-18,5.93E-18,6.50E-17,6.39E-17,6.41E-17,-3.68E-17,-3.67E-17,-7.77E-19,-8.71E-19,-7.89E-19
673200,8.90E-18,8.91E-18,9.77E-17,9.61E-17,9.63E-17,-5.53E-17,-5.51E-17,-1.17E-18,-1.31E-18,-1.19E-18
676800,9.90E-18,9.90E-18,1.09E-16,1.07E-16,1.07E-16,-6.14E-17,-6.13E-17,-1.30E-18,-1.46E-18,-1.32E-18
680400,1.60E-17,1.60E-17,1.76E-16,1.73E-16,1.73E-16,9.94E-17,9.92E-17,2.10E-18,2.35E-18,2.13E-18
684000,1.30E-17,1.30E-17,1.43E-16,1.41E-16,1.41E-16,8.09E-17,8.07E-17,1.71E-18,1.92E-18,1.74E-18
687600,5.21E-18,5.22E-18,5.72E-17,5.63E-17,5.64E-17,3.24E-17,3.23E-17,6.84E-19,7.67E-19,6.94E-19
691200,7.08E-18,7.08E-18,7.76E-17,7.63E-17,7.65E-17,4.39E-17,4.38E-17,9.28E-19,1.04E-18,9.42E-19
694800,4.09E-18,4.10E-18,4.49E-17,4.42E-17,4.43E-17,2.54E-17,2.54E-17,5.37E-19,6.02E-19,5.45E-19
698400,8.77E-18,8.77E-18,9.63E-17,9.46E-17,9.49E-17,-5.45E-17,-5.43E-17,-1.15E-18,-1.29E-18,-1.17E-18
702000,1.32E-18,1.32E-18,1.45E-17,1.42E-17,1.43E-17,-8.19E-18,-8.15E-18,-1.73E-19,-1.94E-19,-1.75E-19
705600,4.30E-18,4.30E-18,4.72E-17,4.64E-17,4.65E-17,-2.67E-17,-2.66E-17,-5.64E-19,-6.32E-19,-5.72E-19
709200,7.28E-18,7.28E-18,7.99E-17,7.85E-17,7.87E-17,-4.52E-17,-4.51E-17,-9.54E-19,-1.07E-18,-9.69E-19
712800,1.03E-17,1.03E-17,1.13E-16,1.11E-16,1.11E-16,-6.37E-17,-6.35E-17,-1.35E-18,-1.51E-18,-1.37E-18
716400,1.14E-17,1.14E-17,1.25E-16,1.23E-16,1.23E-16,-7.08E-17,-7.05E-17,-1.49E-18,-1.68E-18,-1.52E-18
720000,1.47E-17,1.47E-17,1.61E-16,1.58E-16,1.59E-16,9.10E-17,9.08E-17,1.92E-18,2.16E-18,1.95E-18
723600,1.17E-17,1.17E-17,1.28E-16,1.26E-16,1.26E-16,7.25E-17,7.23E-17,1.53E-18,1.72E-18,1.55E-18
727200,8.70E-18,8.70E-18,9.55E-17,9.39E-17,9.41E-17,5.40E-17,5.39E-17,1.14E-18,1.28E-18,1.16E-18
730800,1.59E-17,1.59E-17,1.75E-16,1.72E-16,1.72E-16,-9.88E-17,-9.86E-17,-2.09E-18,-2.34E-18,-2.12E-18
734400,7.15E-18,7.15E-18,7.84E-17,7.71E-17,7.73E-17,-4.44E-17,-4.42E-17,-9.37E-19,-1.05E-18,-9.51E-19
738000,3.09E-19,3.09E-19,3.39E-18,3.33E-18,3.34E-18,1.92E-18,1.91E-18,4.05E-20,4.54E-20,4.10E-20
741600,2.67E-18,2.67E-18,2.93E-17,2.88E-17,2.89E-17,-1.66E-17,-1.65E-17,-3.50E-19,-3.93E-19,-3.56E-19
745200,5.65E-18,5.65E-18,6.20E-17,6.10E-17,6.12E-17,-3.51E-17,-3.50E-17,-7.41E-19,-8.31E-19,-7.52E-19
748800,8.63E-18,8.64E-18,9.47E-17,9.31E-17,9.34E-17,-5.36E-17,-5.35E-17,-1.13E-18,-1.27E-18,-1.15E-18
752400,9.63E-18,9.63E-18,1.06E-16,1.04E-16,1.04E-16,-5.98E-17,-5.96E-17,-1.26E-18,-1.42E-18,-1.28E-18
756000,1.56E-17,1.56E-17,1.72E-16,1.69E-16,1.69E-16,9.70E-17,9.68E-17,2.05E-18,2.30E-18,2.08E-18
759600,1.33E-17,1.33E-17,1.46E-16,1.44E-16,1.44E-16,8.26E-17,8.24E-17,1.75E-18,1.96E-18,1.77E-18
763200,1.03E-17,1.03E-17,1.13E-16,1.11E-16,1.12E-16,6.41E-17,6.39E-17,1.35E-18,1.52E-18,1.37E-18
766800,7.35E-18,7.35E-18,8.06E-17,7.92E-17,7.95E-17,4.56E-17,4.55E-17,9.63E-19,1.08E-18,9.78E-19
770400,4.37E-18,4.37E-18,4.79E-17,4.71E-17,4.72E-17,2.71E-17,2.70E-17,5.72E-19,6.42E-19,5.81E-19
774000,8.50E-18,8.50E-18,9.33E-17,9.17E-17,9.20E-17,-5.28E-17,-5.26E-17,-1.11E-18,-1.25E-18,-1.13E-18
777600,1.05E-18,1.05E-18,1.15E-17,1.13E-17,1.13E-17,-6.50E-18,-6.47E-18,-1.37E-19,-1.54E-19,-1.39E-19
781200,6.72E-18,6.72E-18,7.37E-17,7.24E-17,7.27E-17,-4.17E-17,-4.17E-17,-8.81E-19,-9.88E-19,-8.94E-19
784800,7.01E-18,7.01E-18,7.69E-17,7.56E-17,7.58E-17,-4.35E-17,-4.34E-17,-9.19E-19,-1.03E-18,-9.33E-19
788400,1.21E-17,1.21E-17,1.33E-16,1.31E-16,1.31E-16,-7.52E-17,-7.50E-17,-1.59E-18,-1.78E-18,-1.61E-18
792000,1.10E-17,1.10E-17,1.20E-16,1.18E-16,1.19E-16,-6.82E-17,-6.80E-17,-1.44E-18,-1.61E-18,-1.46E-18
795600,1.49E-17,1.49E-17,1.64E-16,1.61E-16,1.62E-16,9.27E-17,9.25E-17,1.96E-18,2.20E-18,1.99E-18
799200,1.20E-17,1.20E-17,1.31E-16,1.29E-16,1.29E-16,7.42E-17,7.40E-17,1.57E-18,1.76E-18,1.59E-18
802800,8.97E-18,8.97E-18,9.85E-17,9.68E-17,9.71E-17,5.57E-17,5.56E-17,1.18E-18,1.32E-18,1.19E-18
806400,5.99E-18,5.99E-18,6.58E-17,6.46E-17,6.48E-17,3.72E-17,3.71E-17,7.86E-19,8.81E-19,7.98E-19
810000,6.87E-18,6.88E-18,7.54E-17,7.42E-17,7.44E-17,-4.27E-17,-4.26E-17,-9.01E-19,-1.01E-18,-9.15E-19
813600,5.80E-19,5.80E-19,6.36E-18,6.26E-18,6.27E-18,3.60E-18,3.59E-18,7.60E-20,8.53E-20,7.72E-20
817200,2.40E-18,2.40E-18,2.63E-17,2.59E-17,2.60E-17,-1.49E-17,-1.49E-17,-3.15E-19,-3.53E-19,-3.20E-19
820800,5.38E-18,5.38E-18,5.90E-17,5.80E-17,5.82E-17,-3.34E-17,-3.33E-17,-7.06E-19,-7.91E-19,-7.16E-19
824400,1.63E-17,1.63E-17,1.79E-16,1.76E-16,1.76E-16,1.01E-16,1.01E-16,2.14E-18,2.40E-18,2.17E-18
828000,9.35E-18,9.36E-18,1.03E-16,1.01E-16,1.01E-16,-5.81E-17,-5.79E-17,-1.23E-18,-1.38E-18,-1.25E-18
831600,1.66E-17,1.66E-17,1.82E-16,1.79E-16,1.79E-16,1.03E-16,1.03E-16,2.17E-18,2.43E-18,2.20E-18
835200,1.36E-17,1.36E-17,1.49E-16,1.46E-16,1.47E-16,8.43E-17,8.41E-17,1.78E-18,2.00E-18,1.81E-18
838800,1.06E-17,1.06E-17,1.16E-16,1.14E-16,1.15E-16,6.58E-17,6.56E-17,1.39E-18,1.56E-18,1.41E-18
842400,7.62E-18,7.62E-18,8.36E-17,8.22E-17,8.24E-17,4.73E-17,4.72E-17,9.99E-19,1.12E-18,1.01E-18
846000,4.64E-18,4.64E-18,5.09E-17,5.00E-17,5.02E-17,2.88E-17,2.87E-17,6.08E-19,6.82E-19,6.17E-19
849600,8.23E-18,8.23E-18,9.03E-17,8.88E-17,8.90E-17,-5.11E-17,-5.10E-17,-1.08E-18,-1.21E-18,-1.10E-18
853200,7.75E-19,7.75E-19,8.51E-18,8.36E-18,8.38E-18,-4.80E-18,-4.80E-18,-1.02E-19,-1.14E-19,-1.03E-19
856800,3.87E-18,3.87E-18,4.25E-17,4.17E-17,4.19E-17,-2.40E-17,-2.40E-17,-5.07E-19,-5.69E-19,-5.15E-19
860400,9.99E-18,9.99E-18,1.10E-16,1.08E-16,1.08E-16,6.20E-17,6.19E-17,1.31E-18,1.47E-18,1.33E-18
864000,9.72E-18,9.72E-18,1.07E-16,1.05E-16,1.05E-16,-6.03E-17,-6.02E-17,-1.27E-18,-1.43E-18,-1.29E-18
867600,1.07E-17,1.07E-17,1.18E-16,1.16E-16,1.16E-16,-6.65E-17,-6.63E-17,-1.40E-18,-1.57E-18,-1.43E-18
871200,1.52E-17,1.52E-17,1.67E-16,1.64E-16,1.64E-16,9.44E-17,9.41E-17,1.99E-18,2.24E-18,2.02E-18
874800,1.22E-17,1.22E-17,1.34E-16,1.32E-16,1.32E-16,7.59E-17,7.57E-17,1.60E-18,1.80E-18,1.63E-18
878400,9.24E-18,9.25E-18,1.01E-16,9.97E-17,1.00E-16,5.74E-17,5.72E-17,1.21E-18,1.36E-18,1.23E-18
882000,5.44E-18,5.44E-18,5.97E-17,5.87E-17,5.88E-17,-3.38E-17,-3.37E-17,-7.13E-19,-8.00E-19,-7.24E-19
885600,3.28E-18,3.28E-18,3.60E-17,3.54E-17,3.55E-17,2.04E-17,2.03E-17,4.30E-19,4.83E-19,4.37E-19
889200,8.52E-19,8.51E-19,9.34E-18,9.18E-18,9.21E-18,5.28E-18,5.27E-18,1.12E-19,1.25E-19,1.13E-19
892800,2.28E-18,2.28E-18,2.50E-17,2.46E-17,2.46E-17,-1.41E-17,-1.41E-17,-2.99E-19,-3.35E-19,-3.03E-19
896400,2.60E-18,2.60E-18,2.86E-17,2.81E-17,2.82E-17,1.61E-17,1.61E-17,3.41E-19,3.83E-19,3.46E-19
