Cycle,Strain_G1,Strain_G2,Strain_G3,Crack_Length,Cycles_Left
0,0.000681957858,0.000692577946,0.000694885469,0.0012411498239416328,60500
495,0.000681690831,0.00069254779,0.000694908131,0.0012551230303290898,60005
991,0.000681415998,0.000692516708,0.000694931464,0.001269351152713656,59509
1487,0.000681133077,0.000692484665,0.000694955494,0.0012838406469070564,59013
1983,0.000680841775,0.000692451623,0.000694980245,0.001298598178576666,58517
2479,0.000680541787,0.000692417543,0.000695005746,0.001313630631595443,58021
2975,0.000680232793,0.000692382383,0.000695032024,0.0013289451167857735,57525
3471,0.00067991446,0.000692346101,0.000695059108,0.0013445489810787544,57029
3967,0.000679586442,0.000692308652,0.000695087029,0.0013604498171117928,56533
4463,0.000679248376,0.000692269989,0.000695115819,0.001376655473288828,56037
4959,0.000678899882,0.000692230061,0.000695145512,0.001393174064329021,55541
5454,0.000678540564,0.000692188816,0.000695176143,0.0014100139823314043,55046
5950,0.00067817001,0.000692146201,0.000695207749,0.0014271839083847394,54550
6446,0.000677787788,0.000692102156,0.000695240367,0.0014446928247537258,54054
6942,0.000677393444,0.000692056623,0.000695274039,0.0014625500276747281,53558
7438,0.000676986507,0.000692009537,0.000695308807,0.0014807651407963674,53062
7934,0.000676566483,0.000691960831,0.000695344714,0.001499348129302651,52566
8430,0.000676132854,0.000691910435,0.000695381806,0.0015183093147588303,52070
8926,0.000675685079,0.000691858275,0.000695420134,0.001537659390722868,51574
9422,0.000675222591,0.000691804274,0.000695459747,0.0015574094391683023,51078
9918,0.000674744797,0.000691748347,0.000695500699,0.0015775709477674075,50582
10413,0.000674251075,0.00069169041,0.000695543046,0.001598155828086918,50087
10909,0.000673740773,0.000691630369,0.000695586847,0.0016191764347521973,49591
11405,0.000673213208,0.000691568129,0.000695632164,0.001640645585639641,49095
11901,0.000672667664,0.000691503588,0.000695679061,0.0016625765831612958,48599
12397,0.00067210339,0.000691436637,0.000695727609,0.0016849832367102433,48103
12893,0.000671519598,0.000691367163,0.000695777877,0.0017078798863401675,47607
13389,0.000670915461,0.000691295045,0.000695829942,0.0017312814277578533,47111
13885,0.000670290111,0.000691220155,0.000695883884,0.0017552033387130727,46615
14381,0.000669642636,0.000691142358,0.000695939786,0.0017796617068765136,46119
14877,0.000668972078,0.00069106151,0.000695997737,0.0018046732593031303,45623
15372,0.00066827743,0.00069097746,0.000696057829,0.0018302553935855333,45128
15868,0.000667557636,0.000690890046,0.000696120162,0.0018564262108099457,44632
16364,0.000666811582,0.000690799098,0.000696184837,0.0018832045504357704,44136
16860,0.000666038098,0.000690704432,0.000696251966,0.0019106100272291077,43640
17356,0.000665235955,0.000690605856,0.000696321662,0.0019386630703906262,43144
17852,0.000664403856,0.000690503164,0.000696394047,0.0019673849650291455,42648
18348,0.000663540436,0.000690396138,0.000696469251,0.0019967978961442103,42152
18844,0.000662644261,0.000690284542,0.000696547408,0.0020269249952938892,41656
19340,0.000661713817,0.000690168129,0.000696628663,0.002057790390138183,41160
19836,0.000660747509,0.000690046634,0.000696713169,0.00208941925706381,40664
20331,0.000659743656,0.000689919773,0.000696801085,0.002121837877112969,40169
20827,0.000658700486,0.000689787242,0.000696892582,0.00215507369545702,39673
21323,0.000657616129,0.000689648719,0.000696987842,0.0021891553846760895,39177
21819,0.000656488612,0.000689503856,0.000697087055,0.002224112912127565,38681
22315,0.000655315852,0.000689352283,0.000697190426,0.0022599776117104378,38185
22811,0.000654095653,0.000689193601,0.000697298168,0.002296782260358806,37689
23307,0.000652825691,0.000689027382,0.000697410512,0.0023345611596266905,37193
23803,0.000651503514,0.000688853169,0.000697527701,0.002373350222758008,36697
24299,0.00065012653,0.000688670469,0.000697649993,0.002413187067670349,36201
24795,0.000648691999,0.000688478749,0.000697777663,0.0024541111163194837,35705
25290,0.000647197024,0.00068827744,0.000697911004,0.002496163700953638,35210
25786,0.000645638542,0.000688065925,0.000698050326,0.0025393881778129923,34714
26282,0.000644013311,0.000687843538,0.000698195963,0.002583830048881048,34218
26778,0.000642317901,0.000687609562,0.000698348267,0.0026295370923509888,33722
27274,0.000640548683,0.00068736322,0.000698507616,0.0026765595025326073,33226
27770,0.000638701813,0.00068710367,0.000698674413,0.0027249500399944403,32730
28266,0.000636773222,0.000686830001,0.000698849086,0.002774764192812221,32234
28762,0.0006347586,0.000686541224,0.000699032097,0.0028260603498795546,31738
29258,0.000632653382,0.000686236263,0.000699223935,0.0028788999873308276,31242
29754,0.000630452733,0.000685913949,0.000699425126,0.0029333478692308997,30746
30250,0.000628151527,0.00068557301,0.000699636232,0.002989472263802445,30250
30745,0.000625744335,0.000685212057,0.000699857856,0.003047345176591337,29755
31241,0.000623225403,0.000684829573,0.000700090642,0.0031070426021149043,29259
31737,0.000620588633,0.000684423901,0.000700335284,0.003168644795699149,28763
32233,0.000617827562,0.000683993227,0.000700592525,0.0032322365673912814,28267
32729,0.000614935343,0.00068353556,0.000700863161,0.0032979076000357113,27771
33225,0.00061190472,0.000683048715,0.000701148051,0.0033657527938278147,27275
33721,0.000608728007,0.000682530291,0.000701448115,0.0034358726399136125,26779
34217,0.00060539706,0.00068197764,0.000701764346,0.0035083736258888485,26283
34713,0.000601903261,0.000681387844,0.000702097812,0.0035833686763720477,25787
35209,0.000598237482,0.00068075768,0.000702449661,0.0036609776321881644,25291
35704,0.000594390071,0.000680083579,0.000702821134,0.0037413277721080555,24796
36200,0.00059035082,0.000679361586,0.000703213568,0.003824554381551114,24300
36696,0.00058610894,0.000678587311,0.000703628404,0.003910801373181614,23804
37192,0.000581653043,0.000677755868,0.000704067202,0.004000221964922919,23308
37688,0.000576971115,0.000676861816,0.000704531642,0.004092979421588061,22812
38184,0.000572050496,0.00067589908,0.000705023545,0.00418924786709277,22316
38680,0.000566877867,0.000674860866,0.000705544875,0.004289213175092219,21820
39176,0.000561439232,0.000673739559,0.000706097761,0.0043930739468823225,21324
39672,0.000555719913,0.000672526613,0.000706684503,0.004501042586550464,20828
40168,0.000549704546,0.000671212414,0.000707307592,0.004613346484672007,20332
40663,0.000543377093,0.000669786122,0.000707969723,0.0047302293233558845,19837
41159,0.000536720855,0.000668235499,0.000708673814,0.004851952517176973,19341
41655,0.000529718506,0.000666546691,0.000709423022,0.004978796806534016,18845
42151,0.00052235214,0.000664703987,0.000710220762,0.005111064022284876,18349
42647,0.000514603335,0.00066268953,0.000711070726,0.0052490790431911055,17853
43143,0.000506453248,0.000660482986,0.000711976904,0.005393191970815891,17357
43639,0.000497882726,0.000658061146,0.000712943597,0.005543780550142336,16861
44135,0.000488872464,0.000655397469,0.000713975439,0.005701252868406023,16365
44631,0.000479403192,0.000652461539,0.000715077411,0.005866050369580683,15869
45127,0.000469455911,0.000649218432,0.000716254845,0.006038651227755291,15373
45622,0.000459012181,0.000645627969,0.000717513433,0.006219574129460898,14878
46118,0.000448054473,0.000641643837,0.000718859215,0.00640938252304815,14382
46614,0.000436566583,0.00063721257,0.000720298556,0.006608689402727904,13886
47110,0.000424534129,0.000632272344,0.000721838099,0.006818162706169836,13390
47606,0.000411945127,0.000626751575,0.000723484685,0.00703853141797799,12894
48102,0.00039879066,0.000620567302,0.00072524523,0.007270592487386329,12398
48598,0.000385065648,0.000613623309,0.000727126539,0.007515218687707585,11902
49094,0.000370769709,0.000605807994,0.00072913502,0.007773367568131421,11406
49590,0.000355908117,0.000596991965,0.000731276286,0.008046091676282346,10910
50086,0.00034049286,0.000587025393,0.000733554566,0.008334550263619823,10414
50581,0.000324543753,0.000575735176,0.000735971872,0.008640022726682947,9919
51077,0.000308089615,0.000562922052,0.000738526811,0.008963924087112302,9423
51573,0.000291169442,0.000548357873,0.000741212892,0.009307822874562183,8927
52069,0.000273833537,0.000531783445,0.000744016128,0.009673461851912847,8431
52565,0.000256144527,0.000512907535,0.000746911614,0.010062782115286667,7935
53061,0.000238178158,0.000491407987,0.000749858655,0.010477951217024701,7439
53557,0.000220023786,0.000466936321,0.000752793803,0.010921396104178624,6943
54053,0.00020178441,0.000439127763,0.000755620874,0.011395841846313242,6447
54549,0.000183576135,0.000407619287,0.000758196597,0.01190435735515094,5951
55045,0.000165526909,0.000372078912,0.000760309944,0.012450409588945591,5455
55540,0.000147774428,0.000332249833,0.000761652322,0.013037928105293368,4960
56036,0.000130463112,0.000288012588,0.000761774665,0.013671382302714271,4464
56532,0.000113740118,0.000239466576,0.000760025994,0.01435587430810183,3968
57028,9.77504584e-05,0.000187027761,0.000755466578,0.015097251270949064,3472
57524,8.26313627e-05,0.000131531556,0.000746748189,0.01590224188075164,2976
58020,6.8506172e-05,7.43184672e-05,0.000731956713,0.01677862332105897,2480
58516,5.54781639e-05,1.72676225e-05,0.000708424341,0.01773542673852723,1984
59012,4.36248068e-05,-3.72643968e-05,0.000672552313,0.01878319181712616,1488
59508,3.29930075e-05,-8.66351526e-05,0.000619762961,0.019934284463282593,992
60004,2.35959075e-05,-0.000128244156,0.000544848236,0.021203296300051175,496
